Phrase,Frequency
green,76
groundwater,56
environmental,48
environment,47
temporal,43
pollution,36
heat,34
driving,30
communities,29
dynamic,28
sustainable,27
comprehensive,25
dynamics,25
climate,24
diversity,24
economy,23
carbon,22
characteristics,22
housing,22
integration,22
residential,22
intercity,21
poverty,21
supply,21
accessibility,20
ecological,20
aero,18
consumption,18
flood,18
landscape,18
modeling,18
optimization,18
scenarios,18
conditions,17
crucial,17
digital,17
diverse,17
expansion,17
flow,17
infrastructure,17
mechanism,17
term,17
construction,16
evolution,16
particularly,16
transition,16
coupling,15
developed,15
emissions,15
increased,15
opt,15
production,15
associated,14
capacity,14
correlation,14
elements,14
environments,14
function,14
leading,14
machine,14
market,14
novel,14
ozone,14
performance,14
prediction,14
quan,14
similar,14
values,14
vegetation,14
commercial,13
context,13
demonstrate,13
exhibit,13
exhibited,13
experiences,13
extreme,13
heavy,13
increasing,13
institutional,13
nature,13
observed,13
ratio,13
reduction,13
regression,13
resolution,13
resulting,13
statistical,13
trade,13
additionally,12
attention,12
capture,12
coupled,12
driven,12
ecosystem,12
functional,12
importance,12
influencing,12
major,12
moreover,12
nighttime,12
processes,12
providing,12
regulation,12
rivers,12
roads,12
source,12
trajectory,12
uncertainty,12
valuable,12
wild,12
accurately,11
affecting,11
approaches,11
average,11
bio,11
challenges,11
collaborative,11
considering,11
control,11
effectiveness,11
efficiency,11
emergency,11
employed,11
enhancing,11
equilibrium,11
feedback,11
finally,11
imp,11
improved,11
integrate,11
interactive,11
main,11
parameters,11
quantitative,11
structures,11
temperature,11
total,11
tr,11
variations,11
address,10
affected,10
amounts,10
analyzed,10
applied,10
balance,10
beijing,10
benefits,10
cal,10
chinese,10
component,10
compound,10
concentration,10
conducted,10
cost,10
cw,10
deep,10
delta,10
experiments,10
foster,10
functions,10
gradient,10
hazard,10
height,10
heights,10
indicate,10
indicators,10
integrated,10
intensity,10
limited,10
mapping,10
nitrogen,10
nonlinear,10
numerical,10
observations,10
pm,10
pre,10
rc,10
recovery,10
remains,10
revealed,10
se,10
sister,10
specific,10
task,10
tolerance,10
trend,10
ur,10
variables,10
advanced,9
agricultural,9
cable,9
cl,9
contributes,9
critical,9
density,9
developing,9
events,9
explores,9
facilities,9
food,9
footprint,9
freight,9
gdp,9
historical,9
influences,9
informal,9
innovative,9
knowledge,9
lid,9
literature,9
magnitude,9
mainly,9
mixed,9
optimal,9
order,9
parameter,9
physical,9
promoting,9
rainfall,9
representation,9
retail,9
scales,9
scenario,9
settlement,9
sha,9
smart,9
sources,9
sw,9
uc,9
view,9
watershed,9
weighted,9
wu,9
ab,8
ability,8
accuracy,8
accurate,8
age,8
along,8
behaviour,8
bike,8
bu,8
considered,8
contexts,8
coordinated,8
coordination,8
correlated,8
countries,8
cross,8
