Phrase,Frequency
neighborhood rehabilitation,13
ecological status,5
historic regeneration,5
agricultural intensity,4
book establishments,4
gee platform,4
green book,4
housing assistance,4
housing separation,4
sustainable neighborhood,4
temporal semantic,4
achieving sustainable,3
assistance programs,3
capital governance,3
ce industry,3
critical resident,3
emission reduction,3
environmental pressures,3
evolution block,3
friendly businesses,3
green infrastructure,3
informal settlements,3
job housing,3
labor market,3
labor supply,3
neighbourhood fund,3
south korea,3
stakeholders historic,3
temporal correlation,3
utilization status,3
weakly supervised,3
achieve sustainable,2
achieved opt,2
agricultural practices,2
agriculture ecological,2
annual dynamics,2
architectural heritage,2
atmosphere renovation,2
carbon benefits,2
carbon emission,2
cases shanghai,2
center gravity,2
collected question,2
compound environmental,2
comprehensive flooding,2
computer vision,2
concentrations poverty,2
confirmation ec,2
constitutes step,2
construction sites,2
context contraction,2
contributes empirical,2
critical success,2
den optimal,2
descriptive statistics,2
disorder policing,2
dong rug,2
drainage focus,2
dynamic context,2
earth engine,2
efficiency ten,2
emphasizes drainage,2
enabling comprehensive,2
engage intention,2
engine gee,2
environmental pressure,2
expectation confirmation,2
external conditions,2
flood require,2
focus surfaces,2
freshwater pressures,2
general offers,2
google earth,2
ho view,2
home atmosphere,2
improved performance,2
income town,2
infrastructure regeneration,2
initial experience,2
intention competence,2
intentions continue,2
lifestyle routines,2
logical restoration,2
material recycling,2
mini food,2
morphological classes,2
net zero,2
novel flooding,2
odi emphasizes,2
offers novel,2
opt efficiency,2
optimal solution,2
orchestrated predict,2
order maintenance,2
organization foundation,2
perceived behavioral,2
physical adaptation,2
pl flooding,2
pl floods,2
planned behavior,2
plaza orchestrated,2
practical implications,2
predict algorithms,2
prices seo,2
prior segments,2
promote sustainable,2
protection commercial,2
question surveys,2
reference context,2
rehabilitation experience,2
require transforming,2
resort evolution,2
resort se,2
resource utilization,2
restoration physical,2
rising rent,2
rome italy,2
rooftop agriculture,2
semi structured,2
seo south,2
separate housing,2
solution surfaces,2
source fusion,2
status construction,2
structural evolution,2
success cs,2
supplementary flood,2
surfaces den,2
surfaces drainage,2
surfaces general,2
surfaces supplementary,2
sustainable construction,2
sustainable goals,2
ta knowledge,2
taxonomy afford,2
ten odi,2
threshold voting,2
transforming surfaces,2
twentieth century,2
urgent need,2
view syntax,2
visual ta,2
washington dc,2
way carbon,2
weak organization,2
ability determination,1
ability prefer,1
ability products,1
abrupt month,1
absorption homogeneous,1
abstraction agricultural,1
abstraction alteration,1
abu viewed,1
academic emphasis,1
academic fields,1
academic productive,1
acc boundaries,1
accelerate cat,1
