Phrase,Frequency
disclosure,2
discussed,2
disposal,2
districts,2
diversified,2
divided,2
document,2
dual,2
early,2
ec,2
el,2
elastic,2
elevated,2
embodied,2
emerged,2
employ,2
end,2
engine,2
england,2
equity,2
establish,2
establishes,2
europe,2
european,2
evaluated,2
even,2
evolutionary,2
examines,2
examining,2
except,2
expectation,2
experimental,2
explain,2
explanation,2
extensive,2
fabric,2
facilities,2
facts,2
failures,2
financial,2
floods,2
focal,2
focused,2
focuses,2
focusing,2
followed,2
forces,2
foster,2
foundation,2
fully,2
geographic,2
given,2
giving,2
globally,2
goals,2
google,2
growing,2
guidance,2
guidelines,2
halt,2
helps,2
highlighted,2
highlighting,2
hold,2
horizon,2
hybrid,2
ideal,2
identity,2
ignored,2
ignoring,2
illustrate,2
imagery,2
imperative,2
incorporating,2
indicates,2
indicator,2
induced,2
industries,2
inevitably,2
influenced,2
informed,2
injustice,2
inn,2
integrated,2
intended,2
internal,2
interspersed,2
interventions,2
introduce,2
investigate,2
investigates,2
investment,2
involves,2
italy,2
labels,2
laboratory,2
largest,2
lay,2
leaders,2
lia,2
lifestyle,2
limitations,2
line,2
livestock,2
log,2
loss,2
lower,2
lowest,2
made,2
main,2
mainly,2
maintain,2
maintenance,2
makers,2
makes,2
manifested,2
manufacturing,2
marginal,2
massive,2
material,2
meaningful,2
measures,2
metric,2
metropolitan,2
mini,2
mining,2
mode,2
modern,2
modified,2
module,2
month,2
morphological,2
morphology,2
moving,2
must,2
nanjing,2
nationwide,2
necessary,2
needed,2
neglect,2
negotiate,2
net,2
nets,2
newly,2
noisy,2
nu,2
observed,2
obtained,2
offer,2
offering,2
ongoing,2
online,2
opens,2
operational,2
opportunity,2
opposite,2
orchestrated,2
organizers,2
organizing,2
os,2
outside,2
owned,2
paradigm,2
parties,2
path,2
paths,2
period,2
pest,2
phases,2
phenomenon,2
planned,2
played,2
plaza,2
points,2
police,2
poor,2
port,2
powerful,2
prefer,2
presents,2
principles,2
priority,2
produced,2
productive,2
profit,2
promising,2
proposals,2
ranging,2
rapidly,2
ratio,2
rational,2
reflect,2
regard,2
relative,2
relocating,2
relocation,2
rely,2
replica,2
require,2
requirements,2
researchers,2
resolution,2
restoration,2
retain,2
reveals,2
rise,2
rising,2
robust,2
rome,2
rooted,2
routines,2
rug,2
sample,2
satisfaction,2
satisfying,2
scheme,2
secondary,2
seems,2
sense,2
sentinel,2
seo,2
separate,2
serious,2
set,2
several,2
share,2
shift,2
site,2
solutions,2
solve,2
source,2
sources,2
spanning,2
specific,2
sponge,2
sr,2
stand,2
statistical,2
statistics,2
step,2
stimulated,2
strong,2
success,2
successful,2
sudden,2
suit,2
summer,2
supplementary,2
ta,2
tailor,2
takes,2
tang,2
taxonomy,2
technique,2
technologies,2
ten,2
term,2
terms,2
test,2
text,2
theoretical,2
theories,2
threats,2
threshold,2
tools,2
towards,2
tradition,2
transition,2
trends,2
trial,2
twentieth,2
underlying,2
underwent,2
uneven,2
unified,2
units,2
universal,2
user,2
utility,2
utilizing,2
variable,2
variations,2
varied,2
verify,2
via,2
villagers,2
vision,2
voting,2
walking,2
washington,2
waste,2
winter,2
wo,2
working,2
yearly,2
zero,2
abrupt,1
abu,1
acc,1
accelerate,1
accelerating,1
acceptable,1
accompanied,1
according,1
accumulated,1
actions,1
actual,1
addition,1
addresses,1
adequate,1
adjacent,1
adjustments,1
administrations,1
adopted,1
adopting,1
advanced,1
advancement,1
advantage,1
adverse,1
advice,1
advocate,1
advocated,1
af,1
affected,1
affecting,1
african,1
agenda,1
aggravated,1
aggregate,1
aiming,1
al,1
alarm,1
align,1
allows,1
along,1
alongside,1
alteration,1
alterations,1
ambitious,1
american,1
amounts,1
amp,1
amplitude,1
anchor,1
another,1
apparently,1
appears,1
application,1
applies,1
applying,1
appreciation,1
appropriate,1
approximately,1
ara,1
archive,1
arrangements,1
array,1
arrest,1
arrests,1
articulated,1
artificial,1
artistic,1
ass,1
assessing,1
assist,1
assumptions,1
atlas,1
attain,1
attaining,1
attempts,1
attention,1
attracted,1
authorities,1
authority,1
automatically,1
auxiliary,1
available,1
avoid,1
awkward,1
back,1
bai,1
balance,1
balanced,1
balancing,1
band,1
baseline,1
bases,1
basic,1
behaved,1
believe,1
belonging,1
belt,1
bf,1
billion,1
bin,1
bloc,1
board,1
bounds,1
box,1
branch,1
break,1
bring,1
broader,1
bulk,1
cables,1
calculation,1
calls,1
capabilities,1
capable,1
capture,1
captures,1
capturing,1
carbonate,1
card,1
carefully,1
carry,1
carrying,1
cas,1
catchment,1
categorized,1
catering,1
causes,1
causing,1
cent,1
centers,1
certain,1
cf,1
chain,1
challenged,1
chang,1
characteristic,1
characterization,1
chong,1
ci,1
circular,1
circulation,1
clarified,1
clarify,1
classic,1
cleaner,1
cleared,1
client,1
climatic,1
close,1
closer,1
clues,1
codes,1
coding,1
coefficient,1
coefficients,1
cognition,1
collection,1
collectively,1
combined,1
combines,1
combining,1
comes,1
comfort,1
comfortable,1
coming,1
commonly,1
communication,1
companies,1
complexity,1
compliant,1
comprehension,1
computational,1
concentrate,1
concentrated,1
concept,1
concern,1
concerning,1
concerns,1
concludes,1
concurrently,1
conditional,1
configuration,1
configurations,1
confirms,1
conflicting,1
conjunction,1
connected,1
consequently,1
conservation,1
consideration,1
considering,1
consist,1
consistency,1
consists,1
constant,1
constitute,1
constraints,1
consulting,1
contact,1
contention,1
contexts,1
continent,1
continues,1
continuity,1
contractor,1
contradiction,1
controlling,1
controversial,1
convenient,1
conventional,1
conversely,1
conversion,1
cooperation,1
coordinate,1
coordination,1
corporation,1
corresponding,1
costs,1
county,1
coupling,1
covering,1
creating,1
creative,1
credible,1
credit,1
criminal,1
crises,1
criticized,1
critique,1
cultivation,1
cumulative,1
curves,1
dali,1
databases,1
deco,1
decreased,1
deeper,1
defined,1
degradation,1
del,1
demonstrate,1
demonstrated,1
demonstrating,1
dense,1
department,1
departments,1
depict,1
deprived,1
der,1
derive,1
describes,1
describing,1
designed,1
designer,1
designers,1
designing,1
designs,1
detailed,1
detected,1
detecting,1
detention,1
determination,1
determining,1
devi,1
diagnosis,1
diagnostic,1
differ,1
differed,1
differential,1
differs,1
difficult,1
diffuse,1
digit,1
dimension,1
disadvantaged,1
disc,1
discourse,1
discussion,1
dispersal,1
displaced,1
distinguishing,1
distributions,1
diver,1
diversity,1
divide,1
divisions,1
documents,1
domain,1
dominant,1
dominate,1
dominating,1
doubled,1
drastic,1
drew,1
drivers,1
driving,1
drove,1
dust,1
dwelling,1
dysfunction,1
ease,1
economically,1
ecosystems,1
educated,1
elaborate,1
elderly,1
em,1
embedded,1
embrace,1
emergence,1
emerging,1
emotional,1
enable,1
enabled,1
encoding,1
encompass,1
encounters,1
endeavor,1
enhancement,1
enjoys,1
enrichment,1
entering,1
entry,1
environmentally,1
equation,1
equations,1
equipment,1
equivalent,1
era,1
establishing,1
establishment,1
estimates,1
eu,1
ev,1
event,1
ever,1
example,1
examples,1
exclusively,1
exhibiting,1
exhibits,1
expectations,1
experienced,1
experiencing,1
experts,1
explains,1
exposing,1
expression,1
extant,1
extends,1
extent,1
extra,1
extremes,1
fa,1
faced,1
faces,1
facilitates,1
facing,1
failing,1
failure,1
fairness,1
fall,1
familiarity,1
far,1
farmland,1
feasible,1
featured,1
federal,1
feedback,1
fees,1
fields,1
financially,1
finds,1
firms,1
firstly,1
fit,1
fixed,1
flagship,1
flavor,1
flooded,1
flows,1
flu,1
follows,1
force,1
forecast,1
forefront,1
formal,1
formed,1
formulation,1
forward,1
fossil,1
foundations,1
fra,1
fragmentation,1
frequency,1
frequent,1
friend,1
fuels,1
fulfill,1
function,1
funding,1
fused,1
ga,1
gain,1
gardens,1
gathered,1
gdp,1
gene,1
generate,1
genetic,1
geographically,1
ghetto,1
goes,1
going,1
governmental,1
governments,1
grade,1
grass,1
grassland,1
greater,1
greatest,1
ground,1
happiness,1
healthcare,1
heart,1
held,1
help,1
helped,1
helpful,1
hem,1
hence,1
highland,1
highlights,1
highly,1
historically,1
holiday,1
homes,1
hong,1
hot,1
households,1
huge,1
hui,1
humanist,1
hypothesis,1
ideally,1
identification,1
identifies,1
iii,1
immediate,1
immigrants,1
immigration,1
implement,1
impressions,1
impressive,1
improvements,1
improves,1
ina,1
inadequate,1
incapable,1
incentive,1
included,1
incomes,1
incomplete,1
incorporate,1
incorporated,1
incorporation,1
increases,1
independent,1
indicated,1
indicating,1
indirectly,1
individuals,1
inequality,1
inference,1
influences,1
infrared,1
ingredients,1
inherent,1
initially,1
inquiry,1
inside,1
inspired,1
instability,1
instance,1
institutes,1
integrate,1
intelligence,1
intense,1
intentional,1
interest,1
interesting,1
interests,1
intervention,1
intricate,1
introduced,1
introduces,1
investments,1
investors,1
involved,1
involving,1
ir,1
isolated,1
issues,1
istanbul,1
ji,1
jiangsu,1
jointly,1
ju,1
judging,1
justified,1
kappa,1
kg,1
ki,1
la,1
labour,1
lacking,1
landfill,1
largely,1
last,1
lastly,1
late,1
latest,1
law,1
layout,1
leads,1
leasing,1
leaving,1
legal,1
leisure,1
lessons,1
lid,1
lightweight,1
limiting,1
linking,1
links,1
lip,1
live,1
livelihood,1
lives,1
loan,1
localities,1
locality,1
losses,1
loyalty,1
magnitude,1
majority,1
make,1
mal,1
managers,1
managing,1
manual,1
mapped,1
matching,1
matter,1
matthews,1
mature,1
mcc,1
mean,1
means,1
meanwhile,1
median,1
mediterranean,1
meeting,1
meetings,1
members,1
mental,1
merchants,1
message,1
met,1
meter,1
mid,1
migration,1
miles,1
mineral,1
minimize,1
minimum,1
mirror,1
mix,1
moderate,1
mosaic,1
move,1
mp,1
namely,1
nan,1
narrative,1
nature,1
negotiated,1
neighbourhoods,1
neutral,1
neutrality,1
ni,1
nitrogen,1
none,1
norms,1
northern,1
notably,1
noteworthy,1
nutrient,1
objectives,1
obligations,1
observation,1
observations,1
obstacle,1
obtain,1
obvious,1
occurred,1
occurrence,1
offs,1
open,1
operations,1
ordered,1
orderly,1
otherwise,1
outcome,1
outlines,1
outward,1
overlooking,1
overview,1
owner,1
owners,1
pace,1
paired,1
parameters,1
partial,1
participants,1
participating,1
particular,1
parts,1
party,1
passage,1
past,1
peaks,1
peoples,1
perform,1
periods,1
periphery,1
person,1
photo,1
pin,1
pioneering,1
pivotal,1
placed,1
places,1
planted,1
playing,1
pleasure,1
plots,1
poe,1
political,1
pollution,1
pool,1
populations,1
positioning,1
possible,1
pound,1
power,1
precisely,1
precision,1
predominantly,1
preferred,1
prejudice,1
present,1
preservation,1
prevailing,1
prevalent,1
prevent,1
pricing,1
probably,1
procedural,1
produce,1
producer,1
produces,1
producing,1
profiles,1
programming,1
progressively,1
projected,1
proliferation,1
promise,1
promoted,1
promotion,1
prompted,1
proof,1
properly,1
proposing,1
protect,1
province,1
provincial,1
proximity,1
psychological,1
purchase,1
pursuing,1
pursuit,1
put,1
qi,1
qu,1
quantities,1
quasi,1
quo,1
rainfall,1
rains,1
raises,1
ranged,1
ranges,1
rank,1
rarely,1
rates,1
rather,1
ready,1
realistic,1
realized,1
realizes,1
realm,1
reasoning,1
recently,1
recognize,1
recognized,1
recommend,1
reconstructed,1
reconstruction,1
records,1
red,1
reduced,1
reductions,1
ref,1
referenced,1
references,1
referring,1
refining,1
reflecting,1
reg,1
regarded,1
regina,1
registering,1
regulation,1
regulations,1
rehab,1
reinforced,1
relates,1
relations,1
relies,1
relocate,1
relying,1
remaining,1
reorganisation,1
repair,1
replaced,1
representative,1
represented,1
reproduction,1
requests,1
required,1
requiring,1
residual,1
resistance,1
resolve,1
resolving,1
resorts,1
resources,1
respond,1
responded,1
responses,1
responsible,1
restricted,1
resulting,1
revisited,1
revive,1
rf,1
ridge,1
rip,1
risky,1
rivers,1
roof,1
room,1
rr,1
run,1
runoff,1
satellite,1
satisfy,1
scaled,1
scholarship,1
science,1
score,1
sector,1
security,1
selective,1
sensed,1
sensors,1
sep,1
serves,1
shape,1
shaped,1
shaping,1
shifted,1
shop,1
shortages,1
shorter,1
showcasing,1
shown,1
shrinking,1
side,1
signature,1
signed,1
similarly,1
simulate,1
singapore,1
sink,1
situ,1
situation,1
size,1
sized,1
skills,1
smaller,1
smart,1
societies,1
society,1
soft,1
soil,1
solving,1
sometimes,1
sorting,1
sought,1
sourced,1
span,1
specialist,1
specify,1
spill,1
spirit,1
spontaneous,1
square,1
stability,1
stable,1
stands,1
states,1
stay,1
staying,1
steep,1
stereo,1
stereotypes,1
stocks,1
storey,1
storm,1
strategic,1
strength,1
strengthening,1
strengths,1
strict,1
strive,1
stronger,1
strongest,1
strongly,1
studying,1
subgroup,1
subjected,1
substantial,1
substantially,1
substantive,1
suburbs,1
successfully,1
suffers,1
suggestions,1
suggests,1
suitable,1
supplies,1
supporting,1
sur,1
surrounded,1
survival,1
sustained,1
symbols,1
synthesis,1
systematic,1
systematically,1
tailored,1
tal,1
tapestry,1
technology,1
temperate,1
template,1
tenants,1
tends,1
terrain,1
territories,1
territory,1
texture,1
theo,1
thirty,1
ties,1
timeline,1
together,1
top,1
torre,1
tourist,1
toward,1
trace,1
tracking,1
trained,1
trait,1
trajectory,1
transaction,1
transactions,1
transformed,1
transitions,1
translate,1
transparency,1
transparent,1
trees,1
triggered,1
truly,1
trust,1
twice,1
twin,1
ty,1
typical,1
ultimately,1
union,1
united,1
universally,1
unsuccessful,1
unwilling,1
update,1
updated,1
upgrades,1
upon,1
upscale,1
upward,1
urgency,1
useful,1
uses,1
utilizes,1
variance,1
variation,1
varies,1
vast,1
vector,1
vectors,1
vegetable,1
viewed,1
voices,1
void,1
vulnerability,1
walls,1
warrant,1
weaknesses,1
wealthy,1
weights,1
whereas,1
white,1
whole,1
wider,1
widespread,1
wilcox,1
withstand,1
workers,1
worldwide,1
xi,1
yielding,1
zhang,1
zheng,1
