Phrase,Frequency
private bike,9
environmental justice,8
green belt,8
suburban poverty,8
park visitation,7
residential choice,7
bike share,6
bus shelters,6
environmental pollution,6
flow prediction,6
food deserts,6
mixed functions,6
extreme rainfall,5
minute concept,5
residential preferences,5
residential segregation,5
storey residential,5
characteristics intercity,4
chronic forms,4
geographically interesting,4
housing afford,4
primate stage,4
privacy preserving,4
private bikes,4
racial diversity,4
rise storey,4
temporal stable,4
trajectory temporal,4
actual scope,3
afford stress,3
ar fungi,3
bai migration,3
canadian wild,3
credit card,3
cycling infrastructure,3
diversity segregation,3
diversity visitors,3
dock bike,3
fresh food,3
geographic semantic,3
implementation minute,3
infection dynamics,3
job housing,3
living ra,3
migration hierarchy,3
neighborhood diversity,3
practice theories,3
preserving trajectory,3
privately owned,3
returned nature,3
south east,3
weather events,3
wireless infrastructure,3
angeles county,2
apparent temperatures,2
attributes late,2
auckland zealand,2
becoming remaining,2
behaviors places,2
bike positively,2
bike private,2
biodiversity conservation,2
birds reptiles,2
bus riders,2
bus shelter,2
canadian metropolitan,2
capture temporal,2
car dependent,2
center dot,2
changing practices,2
character temporal,2
chilean food,2
combined application,2
combined treatment,2
comparative landscape,2
concept guangzhou,2
concept minute,2
consistency affiliation,2
consumption categories,2
content rice,2
core periphery,2
correlation pm,2
decisions regarding,2
decomposition sv,2
delta pearl,2
detecting mixed,2
disrupt weather,2
distinctive characteristics,2
diversity migration,2
dot kg,2
driving functions,2
dwellers visitation,2
dynamics quan,2
east queensland,2
elements pedestrian,2
empirical residential,2
environmental sustainability,2
ethnic minorities,2
expected frequencies,2
extreme heat,2
extreme weather,2
female bike,2
festival rush,2
flow decomposition,2
flows holiday,2
food security,2
function accessibility,2
function associated,2
geographic nodes,2
geographically weighted,2
green satisfaction,2
hamilton zealand,2
healthy diet,2
heavy rainfall,2
housing prices,2
identification attacks,2
implications planners,2
income users,2
individual status,2
infection status,2
informal settlements,2
intercity flows,2
intercity holidays,2
intercity major,2
interesting sequential,2
intervention opportunities,2
ion batteries,2
korea welfare,2
lack quantitative,2
last decade,2
last mile,2
li ion,2
los angeles,2
lower income,2
metro station,2
mg center,2
migrant select,2
migration census,2
migration flows,2
mining geographically,2
minority populations,2
minute paradigm,2
net flows,2
net promoter,2
noise pollution,2
open questions,2
